number of images, 98
x-range, -5.204948425292969, 8.80085277557373
y-range, -7.0784783363342285, 4.2239766120910645
z-range, -2.5672554969787598, 4.564090728759766
image 0, 1, 93, 87, 90, 39, 3, 58, 8, 4, 85, 32, 12, 17, 46, 79, 47, 59, 45, 64, 74
image 1, 93, 0, 87, 90, 4, 47, 74, 39, 3, 12, 58, 46, 67, 85, 8, 79, 59, 64, 17, 32
image 2, 77, 49, 95, 43, 41, 3, 88, 7, 53, 6, 21, 80, 51, 56, 38, 15, 81, 96, 34, 33
image 3, 43, 81, 79, 95, 45, 0, 84, 90, 12, 96, 85, 32, 49, 76, 8, 50, 98, 37, 1, 86
image 4, 93, 47, 1, 74, 90, 0, 12, 92, 42, 64, 59, 87, 3, 66, 79, 85, 39, 50, 11, 46
image 5, 29, 68, 71, 27, 69, 26, 65, 74, 28
image 6, 42, 50, 62, 95, 43, 49, 45, 88, 65, 40, 96, 7, 3, 90, 15, 18, 81, 41, 33, 12
image 7, 49, 95, 79, 43, 50, 38, 81, 84, 45, 77, 6, 41, 76, 15, 96, 86, 20, 98, 21, 85
image 8, 39, 58, 37, 86, 10, 85, 76, 79, 99, 9, 45, 31, 17, 81, 98, 20, 84, 19, 90, 43
image 9, 31, 10, 19, 99, 57, 82, 20, 16, 97, 33, 14, 86, 37, 76, 98, 32, 84, 8, 96, 38
image 10, 99, 9, 31, 19, 37, 86, 76, 20, 57, 32, 84, 16, 8, 82, 98, 81, 96, 33, 15, 45
image 11, 18, 46, 42, 40, 50, 65, 58, 59, 17, 85, 79, 62, 76, 15, 10, 84, 90, 39, 20, 37
image 12, 90, 85, 79, 47, 3, 17, 87, 18, 66, 4, 32, 81, 1, 0, 42, 49, 39, 93, 74, 76
image 13, 78, 83, 60, 16, 14, 34, 23, 57, 21, 80, 82, 54, 19, 97, 56, 89, 38, 9, 48, 33
image 14, 82, 16, 57, 23, 34, 19, 97, 9, 15, 33, 13, 60, 21, 31, 20, 78, 38, 80, 83, 84
image 15, 82, 16, 14, 34, 57, 10, 19, 99, 41, 23, 31, 81, 33, 76, 84, 20, 96, 9, 37, 98
image 16, 82, 19, 57, 14, 20, 34, 9, 84, 23, 33, 15, 31, 10, 97, 96, 38, 98, 13, 21, 81
image 17, 85, 58, 37, 76, 32, 86, 46, 39, 79, 8, 18, 90, 10, 45, 84, 81, 99, 12, 9, 11
image 18, 11, 46, 85, 79, 17, 76, 84, 86, 90, 50, 45, 37, 58, 10, 32, 20, 42, 99, 39, 59
image 19, 57, 82, 16, 9, 20, 10, 31, 14, 99, 33, 97, 98, 84, 86, 37, 76, 96, 38, 15, 34
image 20, 98, 31, 19, 84, 16, 96, 86, 57, 10, 99, 33, 9, 38, 37, 82, 97, 76, 81, 45, 14
image 21, 60, 34, 80, 33, 16, 14, 83, 57, 97, 13, 41, 53, 23, 78, 82, 38, 51, 19, 96, 20
image 22, 24, 70, 25, 35, 30, 71, 26, 27, 29, 52, 28, 94, 69, 44, 48, 73, 54, 63, 72, 55
image 23, 34, 14, 82, 16, 57, 83, 13, 78, 21, 15, 19, 60, 97, 80, 9, 33, 20, 31, 56, 38
image 24, 35, 22, 25, 70, 27, 29, 26, 28, 68, 69, 71, 52
image 25, 70, 27, 29, 28, 69, 26, 24, 22, 71, 35, 52, 68, 30, 44, 94, 97, 56, 89, 38
